IdOrden,puntaje,titulo,mensaje,fecha_opinion,fecha_respuesta
147671,4,,,2018-01-18,2018-01-18
159283,5,,,2018-03-10,2018-03-11
153253,5,,,2018-02-17,2018-02-18
106278,5,,Recibí mucho antes de la fecha límite.,2017-04-21,2017-04-21
154849,5,,Felicitaciones a las tiendas Lannister Me encantó comprar Internet Felicitaciones seguras y prácticas a todos los felices Pascua de Pascua,2018-03-01,2018-03-02
168004,1,,,2018-04-13,2018-04-16
114847,5,,,2017-07-16,2017-07-18
194814,5,,,2018-08-14,2018-08-14
108876,5,,,2017-05-17,2017-05-18
177136,4,recomiendo,"Aparato eficiente. En el sitio, la marca del dispositivo se imprime como 3desinfector y cuando llega con otro nombre ... actualice con la marca correcta ya que es el mismo dispositivo",2018-05-22,2018-05-23
142755,5,,,2017-12-23,2017-12-26
141184,5,,,2017-12-19,2017-12-20
155311,4,,"Pero un poco, bloquear ... porque el valor es bueno.
",2018-02-16,2018-02-20
164505,4,,,2018-03-28,2018-03-30
107253,3,,,2017-04-30,2017-05-03
178524,5,Super recomendación,"Vendedor confiable, producto OK y entrega antes de la fecha límite.",2018-05-23,2018-05-24
143910,2,,"Me gustaría saber lo que pasó, siempre recibí y esta compra ahora me decía",2018-01-18,2018-01-20
164347,5,,,2018-03-24,2018-03-26
126084,3,,,2017-09-29,2017-10-02
193926,1,Mi producto no llegó,Horrible,2018-08-15,2018-08-15
125052,4,,,2017-10-06,2017-10-08
159022,5,,,2018-03-17,2018-04-04
187356,5,Excelente,Nota 10 tienda,2018-07-10,2018-07-11
122789,5,,,2017-09-09,2017-10-17
135738,5,,Gracias por el atento amim despedido,2017-12-01,2017-12-09
113288,5,,,2017-06-23,2017-06-27
130348,4,,,2017-11-01,2017-11-01
163482,5,,"La compra se realizó fácilmente.
La entrega se realizó mucho antes de la fecha límite.
El producto ya ha comenzado a usarse e incluso el presente,
sin problemas.",2018-03-23,2018-04-01
161784,5,,Reloj muy hermoso y barato.,2018-03-29,2018-04-02
136341,1,,No me gustó ! Compré gato por liebre,2017-12-13,2017-12-16
147690,5,,,2018-01-18,2018-01-18
115721,5,,,2017-07-19,2017-07-20
163048,1,,"Compre siempre a través de Internet y la entrega ocurre antes de la fecha límite acordada, que creo que es la fecha límite máxima. En Stark, el plazo máximo ya se ha agotado y no ha recibido el producto.",2018-04-08,2018-04-09
196753,5,,,2018-08-25,2018-08-26
178475,4,Muy bien.,"Recibí exactamente lo que esperaba. Los otros pedidos de otros vendedores se retrasaron, pero llegaron a tiempo.",2018-06-07,2018-06-09
122761,5,,,2017-09-12,2017-09-13
180609,5,Bien,"Recomiendo ,",2018-06-13,2018-06-13
162354,5,,muy buena,2018-03-22,2018-03-30
191968,5,¡Maravilloso!,"¡Estoy completamente enamorado, una tienda súper responsable y confiable!",2018-08-10,2018-08-11
104219,1,,No hay orden para llegar.,2017-04-21,2017-04-23
171967,2,,,2018-05-13,2018-05-14
146302,1,,,2018-02-08,2018-02-10
138452,5,,,2017-12-05,2017-12-07
182290,5,Entrega perfecta,Muy bien. Muy buen aroma.,2018-06-13,2018-06-14
158757,5,,,2018-03-11,2018-03-14
159795,4,,,2018-03-29,2018-03-31
148992,5,,,2018-01-25,2018-02-18
108719,5,,"El gran vendedor llegó antes de la fecha límite, me encantó el producto.",2017-05-13,2017-05-14
125088,5,,,2017-09-22,2017-09-23
167896,5,,Proceso de compra tranquilo y eficiente.,2018-04-24,2018-04-25
108849,5,,Espero que dure porque es del cabello.,2017-05-19,2017-05-21
147393,1,,"Recibí solo 1 estilo de control de Midea de control.
Control remoto perdido para el cónsul de aire acondicionado",2018-01-28,2018-02-04
188389,5,,,2018-07-14,2018-07-16
172525,5,Ótimo,,2018-06-02,2018-06-02
139635,5,,,2017-12-15,2017-12-17
104209,5,,bien,2017-03-21,2017-03-22
173439,3,,,2018-05-10,2018-05-13
128162,3,,,2017-10-27,2017-10-27
176912,4,,,2018-05-31,2018-06-04
188314,5,Muy hermoso,Muy hermoso,2018-07-25,2018-07-25
165416,5,,,2018-04-03,2018-04-03
110857,5,,"Todo ocurrió como contratado siendo la entrega realizada antes de la fecha límite
 Estoy satisfecho
",2017-06-02,2017-06-03
168812,5,,"Me encantó, lo encontré hermoso, muy delicado, me encantó",2018-04-18,2018-04-18
154172,5,,,2018-02-20,2018-02-21
166656,4,,"Gran tienda de asociación: ¡productos muy rápidos, bien empaquetados y de calidad! Solo el costo de la carga que era un poco agrio.",2018-04-04,2018-04-06
153812,5,,,2018-02-27,2018-03-02
178037,5,,,2018-06-03,2018-06-06
195283,5,¡Gran producto!,Recomiendo al vendedor ...,2018-08-17,2018-08-17
100117,1,,"El producto no llegó dentro del tiempo estipulado y causó inconvenientes, porque programé el viaje de vacaciones de mi hijo, según el tiempo. Vivo en Bahía y él solo en Cuiabá. Ahora la casa está vacía.",2016-12-09,2016-12-19
118096,5,,"Producto entregado según lo solicitado, y muy brevemente. ¡Felicidades!
",2017-08-09,2017-08-09
187297,3,,,2018-07-14,2018-07-14
163342,5,,,2018-04-10,2018-04-12
147810,4,,,2018-01-31,2018-02-01
131440,3,,"Compré dos unidades y solo recibí una y ahora, ¿qué hago?",2017-11-09,2017-11-10
198980,5,,,2018-08-28,2018-08-29
148374,3,,"Buen producto, pero lo que me vino no coincide con la foto del anuncio.",2018-01-31,2018-01-31
184487,1,,"Producto mucho más bajo, mal terminado.",2018-07-03,2018-07-05
115889,5,,,2017-07-29,2017-08-01
182168,4,,,2018-06-14,2018-06-18
182018,5,¡Siempre lo recomiendo!,¡La mochila Kit Cane Patrol es hermosa! ¡Mi nieto amará! ¡¡Gracias!!,2018-06-19,2018-06-19
118594,5,,Preguntarse,2017-08-09,2017-08-11
143253,5,,,2018-01-12,2018-01-14
167341,5,,,2018-04-06,2018-04-07
104923,4,,,2017-03-31,2017-04-01
156543,5,,,2018-02-23,2018-02-23
175586,5,,,2018-05-15,2018-05-20
168920,5,,,2018-04-24,2018-04-25
103734,3,,Entrega a tiempo,2017-03-23,2017-03-23
143490,5,,Cumplió lo prometido en la compra y con una entrega satisfactoria,2018-01-04,2018-01-05
155787,1,,Pedí reembolso y sin respuesta hasta ahora,2018-03-08,2018-03-08
175381,5,***** Recomiendo,Súper rápido.,2018-05-10,2018-05-11
156676,1,,,2018-03-07,2018-03-07
164780,5,,,2018-04-06,2018-04-08
190770,5,,,2018-08-17,2018-08-31
152435,2,,,2018-03-17,2018-03-17
117404,5,,,2017-08-03,2017-08-03
137805,5,,,2017-12-12,2017-12-13
114647,5,,,2017-07-12,2017-07-13
162915,3,,,2018-03-28,2018-03-31
128790,5,,,2017-10-31,2017-11-06
133240,5,,"Satisfecho
",2017-11-22,2017-11-22
137433,4,,,2017-12-19,2017-12-22
139548,4,,,2017-12-13,2017-12-15
113505,5,,"son de parabenos ... siempre llega con mucha prioridad.

Muchas gracias....",2017-06-24,2017-06-29
192408,3,Não recebi o produto.,,2018-08-25,2018-08-25
182505,5,,,2018-06-21,2018-06-21
166672,1,,,2018-04-22,2018-04-26
174822,5,,,2018-05-10,2018-05-11
176353,5,EXCELENTE,"Ok, lo recomiendo",2018-05-23,2018-05-28
150484,5,,,2018-01-30,2018-01-30
146519,3,,"El producto ha llegado, pero mi PC no pudo reconocer los puertos USB.",2018-01-16,2018-01-18
142070,5,,"Producto de muy buena calidad, llegó antes de la fecha límite prometida",2017-12-17,2017-12-19
129769,5,,,2017-10-24,2017-10-25
192255,5,,,2018-08-02,2018-08-03
161133,5,,,2018-03-16,2018-03-17
